A_balzani6,,E1,C1
A_balzani6,,C1,C2
A_balzani6,,C2,C3
A_balzani6,,C2,C4
A_balzani6,,E2,C5
A_balzani6,,C5,C6
A_balzani6,,C6,C7
A_balzani6,,C6,C8
A_balzani6,,E3,C9
A_balzani6,,C9,C10
A_balzani6,,C10,C11
A_balzani6,,C11,C12
A_balzani6,,E4,C13
A_balzani6,,C13,C14
A_balzani6,,C14,C15
A_balzani6,,C14,C16
A_balzani6,,C16,C17
A_balzani6,,E5,C18
A_balzani6,,C18,J1
A_balzani6,,J1,C19
A_balzani6,,J1,C20
A_balzani6,,C20,C21
A_balzani6,,C21,C22
A_balzani6,,E6,C23
A_balzani6,,C23,C24
A_balzani6,,C24,C25
A_balzani6,,C25,C26
A_balzani6,,C26,C27
A_balzani6,,E7,C28
A_balzani6,,C28,C29
A_balzani6,,C29,C30
A_balzani6,,E8,C31
A_balzani6,,C31,C32
A_balzani6,,C32,C33
A_balzani6,,C33,C34
