F_japonica_T4,,E1,C1,T1,0.01,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,E1,J1,T3,1.7,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,E2,J2,T6,1.4,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,E2,C2,T27,0.01,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,E3,J4,T31,4.6,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,E4,END9,T36,8.6,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C1,END1,T2,18.3,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C2,J3,T28,18.7,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C3,C4,T8,1.7,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C4,C5,T9,1.7,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C5,C6,T10,2.4,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C6,C7,T11,22,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C7,C8,T12,6.7,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C8,C9,T13,22.5,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C9,C10,T14,3.7,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C10,C11,T15,2.4,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C11,C12,T16,3.8,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C12,C13,T17,32,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C13,C14,T18,1.3,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C14,C16,T19,8.4,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C15,END2,T21,2.2,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C16,C15,T20,3.5,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C16,END3,T22,2.6,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C16,C17,T23,3.6,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C17,C18,T24,5.4,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C18,C19,T25,6.8,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,C19,END4,T26,17.2,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,J1,C3,T4,1.2,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,J1,J2,T5,1.6,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,J2,C3,T7,1.2,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,J3,END5,T29,2.2,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,J3,END6,T30,2.9,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,J4,END7,T32,2.8,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,J4,J5,T33,1.9,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,J5,J3,T34,10.5,,,,,,,,,,,,,,,,,,,,,
F_japonica_T4,,J5,END8,T35,2.5,,,,,,,,,,,,,,,,,,,,,
