NestID,Structure Type,Structure ID,Maximum Width,Notes
A_balzani6,Chamber,C27,5.1,
A_balzani6,Chamber,C28,5.1,
A_balzani6,Chamber,C29,5.1,
A_balzani6,Chamber,C30,7.3,
A_balzani6,Chamber,C31,7.3,
A_balzani6,Chamber,C32,7.3,
A_balzani6,Chamber,C33,7.3,
A_balzani7,Chamber,C1,8,
A_balzani7,Chamber,C2,8,
A_balzani7,Chamber,C3,8,
A_floridana1,Chamber,C1,3.2,
A_floridana1,Chamber,C2,7.3,
A_floridana1,Chamber,C3,5.3,
A_floridana1,Chamber,C4,6.2,
A_floridana10,Entrance,E1,0,
A_floridana10,Chamber,C1,2.802,
A_floridana10,Chamber,C3,3.171,
A_floridana10,Chamber,C2,4.268,
A_floridana11,Entrance,E1,0,
A_floridana11,Chamber,C3,3.962,
A_floridana11,Chamber,C2,4.151,
A_floridana11,Chamber,C1,4.152,
A_floridana11,Chamber,C5,5.377,
A_floridana11,Chamber,C4,5.661,
A_floridana12,Entrance,E1,0,
A_floridana12,Chamber,C1,2.4,
A_floridana12,Chamber,C2,4.402,
A_floridana12,Chamber,C3,5.289,
A_floridana13,Entrance,E1,0,
A_floridana13,Chamber,C1,2.246,
A_floridana13,Chamber,C2,2.755,
A_floridana13,Chamber,C4,3.268,
A_floridana13,Chamber,C3,3.913,
A_floridana13,Chamber,C6,4.061,
A_floridana13,Chamber,C5,5.949,
A_floridana16,Entrance,E1,0,
A_floridana16,Chamber,C2,2.892,
A_floridana16,Chamber,C1,2.934,
A_floridana16,Chamber,C3,4.344,
A_floridana16,Chamber,C4,5.548,
A_floridana17,Chamber,C1,3.9,
A_floridana17,Chamber,C2,4.3,
A_floridana18,Entrance,E1,0,
A_floridana18,Chamber,C2,2.946,
A_floridana18,Chamber,C1,3.032,
A_floridana18,Chamber,C3,3.334,
A_floridana18,Chamber,C4,3.492,
A_floridana18,Chamber,C7,3.969,
A_floridana18,Chamber,C5,5.117,
A_floridana18,Chamber,C6,5.916,
A_floridana18,Chamber,C8,6.667,
A_floridana19,Chamber,C1,2.1,
A_floridana19,Chamber,C2,2.7,
A_floridana19,Chamber,C3,4.3,
A_floridana19,Chamber,C4,5.3,
A_floridana19,Chamber,C5,5.1,
A_floridana19,Chamber,C6,3.6,
A_floridana2,Chamber,C1,2.6,
A_floridana2,Chamber,C2,5.9,
A_floridana2,Chamber,C3,4.3,
A_floridana2,Chamber,C4,5.8,
A_floridana2,Chamber,C5,4.5,
A_floridana2,Chamber,C6,6,
A_floridana2,Chamber,C7,6.4,
A_floridana20,Chamber,C1,2.4,
A_floridana20,Chamber,C2,6.5,
A_floridana20,Chamber,C3,6,
A_floridana20,Chamber,C4,6.8,
A_floridana20,Chamber,C5,5.3,
A_floridana21,Chamber,C1,3.8,
A_floridana21,Chamber,C2,3,
A_floridana21,Chamber,C3,2.9,
A_floridana21,Chamber,C4,6.7,
A_floridana21,Chamber,C5,5,
A_floridana21,Chamber,C6,7.1,
A_floridana21,Chamber,C7,5.5,
A_floridana21,Chamber,C8,2,
A_floridana24,Chamber,C1,2.3,
A_floridana24,Chamber,C2,8.9,
A_floridana24,Chamber,C3,6.6,
A_floridana24,Chamber,C4,6.7,
A_floridana24,Chamber,C5,8.4,
A_floridana24,Chamber,C6,2.7,
A_floridana24,Chamber,C7,2.9,
A_floridana25,Chamber,C1,2.2,
A_floridana25,Chamber,C2,3.8,
A_floridana25,Chamber,C3,3.4,
A_floridana25,Chamber,C4,3.6,
A_floridana25,Chamber,C5,2.5,
A_floridana26,Chamber,C1,1.4,
A_floridana26,Chamber,C2,3.5,
A_floridana26,Chamber,C3,3.9,
A_floridana26,Chamber,C4,4.3,
A_floridana26,Chamber,C5,7,
A_floridana26,Chamber,C6,5.6,
A_floridana26,Chamber,C7,3.3,
A_floridana27,Chamber,C1,6.3,
A_floridana27,Chamber,C2,6.6,
A_floridana27,Chamber,C3,5.2,
A_floridana3,Chamber,C1,1.8,
A_floridana3,Chamber,C2,3.6,
A_floridana3,Chamber,C3,2.4,
A_floridana3,Chamber,C4,2,
A_floridana4,Chamber,C1,1.5,
A_floridana4,Chamber,C2,2.1,
A_floridana4,Chamber,C3,4.3,
A_floridana4,Chamber,C4,4.7,
A_floridana4,Chamber,C5,6.4,
A_floridana4,Chamber,C6,2.4,
A_floridana4,Chamber,C7,4.4,
A_floridana5,Chamber,C1,3.1,
A_floridana5,Chamber,C2,2.9,
A_floridana5,Chamber,C3,4.6,
A_floridana5,Chamber,C4,4.4,
A_floridana5,Chamber,C5,6.9,
A_floridana7,Chamber,C1,2.8,
A_floridana7,Chamber,C2,2.1,
A_floridana7,Chamber,C3,3.1,
A_floridana7,Chamber,C4,3.1,
